chr1,145992435,145996600,TXNIP
chr1,150574551,150579738,MCL1
chr1,153357854,153361027,S100A9
chr1,161184308,161199056,ADAMTS4
chr1,182381704,182392206,GLUL
chr2,11482341,11642788,GREB1
chr2,20447074,20449445,RHOB
chr2,46293667,46386703,EPAS1
chr3,64515654,64688000,ADAMTS9
chr3,196027183,196082189,TFRC
chr4,73740506,73743716,CXCL8
chr4,184755595,184826818,ACSL1
chr5,83471465,83582303,VCAN
chr5,172768090,172771195,DUSP1
chr6,30489467,30494205,HLA-E
chr6,31353872,31357188,HLA-B
chr6,151239999,151358557,AKAP12
chr6,159669057,159762529,SOD2
chr7,106248285,106286326,NAMPT
chr7,106656765,106660996,CCDC71L
chrX,65588377,65741931,MSN
chrX,109624244,109733403,ACSL4
chr8,22367249,22434129,SLC39A14
chr8,73294612,73325281,RDH10
chr9,125234853,125241330,HSPA5
chr11,35138870,35232402,CD44
chr10,69088106,69104811,SRGN
chr13,30906191,30925572,MEDAG
chr13,46125920,46211871,LCP1
chr14,61695513,61748259,HIF1A
chr16,55389700,55506691,MMP2
chr16,56608199,56609497,MT2A
chr17,42313324,42388568,STAT3
chr17,59707192,59842255,VMP1
chr17,78356778,78360077,SOCS3
chr20,23079349,23086340,CD93
