chr1,8875788,8878007,ENO1-IT1
chr1,39081316,39487177,MACF1
chr1,44775251,44778779,RPS8
chr1,114716913,114758676,CSDE1
chr1,183023460,183145592,LAMC1
chr2,54456285,54671445,SPTBN1
chr2,188974320,189012746,COL3A1
chr2,189031896,189179879,COL5A2
chr2,216672105,216695525,IGFBP5
chr2,223975112,224039319,SERPINE2
chr2,231453531,231483641,NCL
chr2,231706895,231713541,PTMA
chr2,237324003,237414375,COL6A3
chr2,241227264,241317061,HDLBP
chr3,41194837,41260096,CTNNB1
chr3,58008400,58172251,FLNB
chr3,112596794,112649530,CCDC80
chr3,120392293,120451253,FSTL1
chr4,54229097,54298247,PDGFRA
chr5,151661096,151687165,SPARC
chr5,179678628,179730925,CANX
chr6,30720201,30725426,TUBB
chr6,44246166,44253888,HSP90AB1
chr6,73515750,73523797,EEF1A1
chr7,94394561,94431232,COL1A2
chr7,128739292,128771807,CALU
chrX,47582313,47586789,TIMP1
chrX,72255679,72277300,RPS4X
chr8,11842524,11869448,CTSB
chr9,19375715,19380254,RPS6
chr9,134641774,134844843,COL5A1
chr11,319669,327537,IFITM3
chr11,75399486,75422280,RPS3
chr11,75562056,75572783,SERPINH1
chr11,123057489,123063230,HSPA8
chr10,17228259,17237593,VIM
chr10,32900319,33005792,ITGB1
chr12,5948874,6124770,VWF
chr12,6533927,6538374,GAPDH
chr12,7080209,7092607,C1R
chr12,57128493,57213351,LRP1
chr12,91140484,91183123,DCN
chr12,103930107,103953645,HSP90B1
chr12,120196686,120201235,RPLP0
chr12,124911604,124917368,UBC
chr13,45333471,45341370,TPT1
chr14,102080738,102139699,HSP90AA1
chr15,39581079,39599466,THBS1
chr15,44711477,44718877,B2M
chr15,48408306,48645849,FBN1
chr15,66498015,66524532,RPL4
chr16,30053090,30070457,ALDOA
chr16,84819984,84920768,CRISPLD2
chr17,40443461,40457731,IGFBP4
chr17,50183289,50201632,COL1A1
chr17,59619689,59696956,CLTC
chr17,81509971,81523847,ACTG1
chr20,38127387,38166578,TGM2
chr19,3976056,3985469,EEF2
chr19,12938578,12944489,CALR
chr19,16067021,16103005,TPM4
chr19,48965301,48966878,FTL
chr22,32801701,32863043,TIMP3
chr22,36281281,36388018,MYH9
chr22,39312882,39320389,RPL3
chr22,45502238,45601135,FBLN1
chr21,45405137,45513720,COL18A1
chr21,45981737,46005050,COL6A1
chr21,46098097,46132849,COL6A2
