chr1,9042165,9042768,ENO1-IT1,USF1
chr1,9040857,9041459,ENO1-IT1,ZBTB7A
chr1,9041026,9041629,ENO1-IT1,USF2
chr1,9040858,9041461,ENO1-IT1,Stat4
chr1,9040523,9041123,ENO1-IT1,TFAP2E
chr1,9042387,9042995,ENO1-IT1,CTCF
chr1,9042700,9043300,ENO1-IT1,FOXH1
chr1,9041098,9041699,ENO1-IT1,ZBTB7B
chr1,9040625,9041227,ENO1-IT1,TFAP2A(var.3)
chr1,9040625,9041227,ENO1-IT1,TFAP2B(var.3)
chr1,9040740,9041340,ENO1-IT1,HOXD13
chr1,9041043,9041642,ENO1-IT1,OSR1
chr1,9040485,9041085,ENO1-IT1,TCF3
chr1,9040714,9041317,ENO1-IT1,Zfx
chr1,9041214,9041810,ENO1-IT1,NFATC2
chr1,9040583,9041183,ENO1-IT1,FOXC1
chr1,9042388,9042992,ENO1-IT1,ZIC4
chr1,9041721,9042327,ENO1-IT1,NFIC(var.2)
chr1,9041019,9041623,ENO1-IT1,Stat6
chr1,9040629,9041228,ENO1-IT1,HES1
chr1,9040765,9041367,ENO1-IT1,Stat2
chr1,9040905,9041506,ENO1-IT1,Stat5a
chr1,9041371,9041981,ENO1-IT1,IRF1
chr1,9042277,9042879,ENO1-IT1,TEAD1
chr1,9040876,9041476,ENO1-IT1,HOXC13
chr1,9040736,9041335,ENO1-IT1,HOXB9
chr1,9042256,9042859,ENO1-IT1,CEBPA
chr1,9040749,9041352,ENO1-IT1,Zic2
chr1,9040886,9041486,ENO1-IT1,NFYA
chr1,9040553,9041152,ENO1-IT1,Ascl2
chr1,9041189,9041793,ENO1-IT1,CEBPG(var.2)
chr1,9040927,9041526,ENO1-IT1,CUX1
chr1,9042420,9043023,ENO1-IT1,RFX1
chr1,9041814,9042420,ENO1-IT1,SP2
chr1,9040692,9041293,ENO1-IT1,NFYB
chr1,9040508,9041107,ENO1-IT1,ELK3
chr1,9040857,9041460,ENO1-IT1,ELF1
chr1,9040904,9041506,ENO1-IT1,ESRRA
chr1,9041228,9041830,ENO1-IT1,ZFP57
chr1,9041094,9041700,ENO1-IT1,Alx4
chr1,9041616,9042223,ENO1-IT1,RARA::RXRG
chr1,9040553,9041152,ENO1-IT1,ATOH1(var.2)
chr1,9040508,9041107,ENO1-IT1,FEV
chr1,9041954,9042559,ENO1-IT1,E2F2
chr1,9040462,9041063,ENO1-IT1,GFI1
chr1,9040886,9041486,ENO1-IT1,NFYC
chr1,9041135,9041734,ENO1-IT1,ETS1
chr1,9040508,9041107,ENO1-IT1,ETV3
chr1,9040508,9041107,ENO1-IT1,FLI1
chr1,9042789,9043391,ENO1-IT1,NRL
chr1,9040553,9041152,ENO1-IT1,TFAP4
chr1,9041189,9041792,ENO1-IT1,ATF4
chr1,9041106,9041705,ENO1-IT1,POU6F1
chr1,9042762,9043361,ENO1-IT1,TCFL5
chr1,9040471,9041071,ENO1-IT1,KLF15
chr1,9042474,9043074,ENO1-IT1,TFDP1
chr1,9040634,9041236,ENO1-IT1,NFKB2
chr1,9042540,9043140,ENO1-IT1,KLF16
